STATION,LATITUDE,LONGITUDE,ELEVATION,Est,Nor
USC00214652,47.2467,-94.2228,396.8,135273.15009876186,2696244.232217406
USC00216565,44.01377,-96.32533,505.4,-25993.144619624938,2335899.674077083
USC00221707,34.1864,-90.5573,52.7,497596.8434899983,1250063.9028710604
USC00224966,31.148,-88.6566,35.1,697226.5450328997,923879.5116988727
USC00240780,45.8326,-109.9511,1249.7,-1081073.6291013556,2617770.486210032
USC00240802,45.7716,-108.4811,944.0,-968744.6748422834,2595207.47292831
USC00241044,45.6621,-111.0463,1497.5,-1168242.6362252326,2612014.0156496703
USC00242122,48.14739,-104.51745,588.6,-638583.5405107604,2823046.986849243
USC00242793,45.3394,-111.7122,1509.7,-1225386.0019158982,2585003.1161225187
USC00243013,46.82169,-108.37239,1002.8,-945236.5995560234,2709570.5126289623
USC00243581,47.1059,-104.71759,632.5,-664081.5631663708,2709887.4707961823
USC00246157,45.4875,-111.6336,1446.3,-1216615.389783738,2600233.541068291
USC00250050,42.54669,-99.85161,767.5,-314294.04654926027,2178415.8368127695
USC00250365,41.56973,-101.6917,1112.8,-470836.6336675504,2076873.5486687094
USC00250945,42.5938,-97.6436,530.4,-134057.66411223524,2178471.268485799
USC00252020,40.6092,-96.872,445.0,-73163.66313482053,1955560.8360270062
USC00252595,41.9872,-98.0747,589.8,-170695.59257247418,2111344.0129790306
USC00253365,40.9394,-100.1513,793.4,-346587.18993527215,1999776.4676546087
USC00253605,41.633,-103.9541,1386.8,-657023.1462438748,2097361.8564339024
USC00254335,40.7258,-99.0133,649.2,-252373.0321969559,1972286.0368515095
USC00257830,41.22924,-103.02142,1321.9,-583467.5678231666,2046221.3348908701
USC00265168,38.3878,-118.1091,1396.0,-1895756.7616164412,1927811.4675018273
USC00272999,45.0899,-71.2906,502.9,1921275.9910079238,2706914.0911271013
USC00290600,32.7547,-104.3835,1026.0,-779969.4302244761,1110348.7261911528
USC00290692,36.835,-108.0005,1720.3,-1057489.973528062,1599125.7974181417
USC00291138,33.8044,-106.8908,1375.3,-998934.420941333,1250421.1847602713
USC00291664,36.9177,-106.578,2392.7,-931662.444162753,1593439.303470018
USC00301966,44.7192,-73.7205,408.4,1745593.1613831143,2620023.822471493
USC00309000,43.9761,-75.8753,151.5,1596840.4957423261,2501366.5650210977
USC00312635,36.0164,-76.5516,3.0,1725030.1090444939,1617705.434270496
USC00313638,35.64,-77.3984,9.8,1659101.640420666,1561324.540807304
USC00320382,46.0405,-99.3741,613.9,-261526.65955560218,2565998.4430413274
USC00320941,48.8216,-100.4527,493.5,-330683.99542043364,2876368.280130235
USC00331072,40.8126,-82.9698,291.1,1086755.8346701213,2052626.2374423589
USC00340292,34.1773,-97.1617,256.3,-106275.6194051263,1235443.158427503
USC00351946,42.89765,-122.13387,1976.6,-2095689.3130585158,2501252.1544978186
USC00353827,45.3653,-119.5639,574.5,-1826569.8134041398,2713973.19482114
USC00360475,40.7628,-80.3133,231.6,1307388.7792298624,2080576.4044380828
USC00363028,41.4004,-79.8305,309.4,1335156.0277154443,2157678.0229785056
USC00380506,33.9,-81.5389,201.2,1322576.528652894,1304623.880579381
USC00382260,34.3011,-79.8766,45.7,1465651.3786144925,1373264.3946171303
USC00390043,43.48397,-99.04788,515.4,-245377.20101964698,2280681.2624808834
USC00391972,43.9611,-101.8605,723.3,-468314.9060484096,2344425.8019067575
USC00392927,45.03239,-99.12253,481.0,-245715.44651942427,2453362.076290792
USC00393029,44.06844,-98.08333,389.2,-166309.04954613987,2343774.6486317734
USC00394037,44.00292,-97.52864,477.3,-122150.55951686045,2335627.867491929
USC00395481,43.23586,-97.57125,406.3,-126970.98621741177,2250095.5619024946
USC00410493,31.7413,-99.9763,518.2,-375036.9334153115,970811.7065681106
USC00410639,28.4575,-97.7061,77.7,-167496.5809137368,600015.7677607104
USC00414081,32.18265,-94.7967,140.5,112900.86293422298,1012850.4495845224
USC00420730,38.7076,-112.9539,1498.4,-1452788.2935434752,1872069.8032313196
USC00421214,39.20765,-111.0128,1715.7,-1279113.9619928459,1899427.4428564585
USC00422101,39.28754,-112.6513,1399.6,-1415795.6139106823,1931490.1820566973
USC00424856,41.82517,-111.32064,1822.7,-1258058.5858541885,2192981.369539297
USC00426357,39.37089,-112.33159,1575.5,-1387285.2796641204,1935976.2088852897
USC00427260,38.76165,-112.07772,1610.9,-1377425.4143559467,1864989.8275090156
USC00427686,39.9578,-111.7794,1572.8,-1329948.6634370969,1992916.072021768
USC00428771,40.5352,-112.3218,1506.9,-1364165.9621934136,2064371.3991622042
USC00429595,41.51479,-111.15948,1924.8,-1250454.8698757435,2156567.397940367
USC00429717,37.2091,-112.9814,1230.8,-1484971.1267420829,1707214.7468887195
USC00441209,37.0908,-81.33639,935.1,1286064.8703127182,1660347.7778268515
