station,location_est,location_lower,location_upper,location_se,scale_est,scale_lower,scale_upper,scale_se,shape_est,shape_lower,shape_upper,shape_se,nllh,method
USC00112140,602.754771634228,557.2428635086659,648.26667975979,23.22078797598028,170.31370627138335,135.14017003592082,205.4872425068459,17.946011514959928,0.10409415479493744,-0.11139856668413786,0.3195868762740127,0.10994728636794067,494.8709788737819,ismev_car_delta
USC00114198,547.9422206223469,512.00752166571306,583.8769195789807,18.334366978210884,133.0844311328243,103.47258826100163,162.69627400464697,15.108360717542322,0.24601648448753033,0.008919794292427369,0.48311317468263326,0.12096992192983722,489.10400950435746,ismev_car_delta
USC00120177,515.1645390755978,484.61582031751175,545.7132578336838,15.586367402182095,113.17949757242243,88.45555124247998,137.9034439023649,12.614490125819554,0.21108550777046775,-0.019526529585521007,0.44169754512645654,0.11766136478783648,469.30334858837375,ismev_car_delta
USC00120676,509.5080010030977,476.5355290327395,542.480472973456,16.82299890734775,126.15428514623751,101.50636562420755,150.80220466826748,12.575700225335579,0.072553547621585,-0.10627035793248105,0.2513774531756511,0.09123836303350788,464.9388478264489,ismev_car_delta
USC00123418,532.5791380285937,487.1699717195928,577.9883043375945,23.168367718581862,178.900615127994,145.83193693903144,211.96929331695657,16.872084614719498,0.03834666116093828,-0.11435715466372721,0.1910504769856038,0.07791154175748828,501.95866685974266,ismev_car_delta
USC00130385,568.1448998065064,526.577377575621,609.7124220373918,21.20830921321246,163.41633199499915,130.21331239483737,196.61935159516094,16.94062741053559,0.2283726132380514,0.0669775026925464,0.3897677237835564,0.0823459572821588,496.6751097004146,ismev_car_delta
USC00130600,593.8509344404185,548.0948005580765,639.6070683227606,23.345395243617045,180.61010976900036,147.35060891468578,213.86961062331494,16.969444906468333,0.049593240743045525,-0.10243591113399567,0.20162239262008672,0.07756731913250844,503.2331010656854,ismev_car_delta
USC00131233,539.777753366068,492.8934209416402,586.6620857904959,23.921017321871975,180.17770991580426,144.8421514791973,215.51326835241122,18.02867742230436,0.07464688215192822,-0.1121741113491802,0.26146787565303664,0.09531858492029886,504.3625656997972,ismev_car_delta
USC00131319,613.8576352157206,561.7726859796325,665.9425844518088,26.574442003489686,199.59795523640412,160.24161528378417,238.95429518902407,20.080134259128098,0.08499458093866566,-0.10363766104047462,0.27362682291780593,0.09624270826762502,505.6471022067065,ismev_car_delta
USC00131394,606.9620552408362,555.4921516797385,658.4319588019339,26.260637423486234,199.94397998217295,160.71974876640314,239.16821119794275,20.012730603809835,0.13826414098209744,-0.026921406943959808,0.3034496889081547,0.08427988944134679,500.84859915365286,ismev_car_delta
USC00132110,565.8342912276937,519.693105782108,611.9754766732794,23.541853732793854,177.1075592822462,139.90982544983194,214.30529311466046,18.978784368399232,0.21850523992080578,0.02023287450611383,0.41677760533549774,0.1011612289708582,509.1673909608123,ismev_car_delta
USC00132171,523.3136697959461,477.69971106730065,568.9276285245916,23.272855566960686,168.5089993289012,128.08449813221202,208.9335005255904,20.625124500017613,0.37464387655667053,0.1226248700047543,0.6266628831085868,0.1285834885435702,511.82673759145484,ismev_car_delta
USC00132603,588.7429055002815,544.5853401115457,632.9004708890172,22.529784086363332,164.3993468167902,130.4183815108884,198.380312122692,17.337545778360898,0.08112515828980478,-0.14314722187165296,0.30539753845126255,0.11442678637489757,498.08263108674134,ismev_car_delta
USC00132999,592.396961075859,546.3253122922074,638.4686098595107,23.50637519212543,179.36611541635895,145.0498552341182,213.6823755985997,17.50861773630691,0.0779826541390039,-0.08846844649128435,0.24443375476929216,0.08492559146149284,497.366604244721,ismev_car_delta
