LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.85,-102.45,-32768,187.61324,3.914837,0.1189376
59.85,-102.15,-32768,182.52892,3.896202,0.1189376
59.85,-101.85,-32768,194.59146,3.9483151,0.1189376
59.85,-101.55,-32768,194.04993,3.9483972,0.1189376
59.85,-101.25,-32768,179.9413,3.8925903,0.1189376
59.85,-100.95,-32768,173.19922,3.8672144,0.1189376
59.85,-100.65,-32768,178.4232,3.8912406,0.1189376
59.85,-100.35,-32768,190.66537,3.9440777,0.1189376
59.85,-100.05,-32768,202.69388,3.9959178,0.1189376
59.85,-99.75,-32768,192.01952,3.954203,0.1189376
59.85,-99.45,-32768,193.35608,3.9620092,0.1189376
59.85,-99.15,-32768,195.22012,3.9719975,0.1189376
59.85,-98.85,-32768,187.06868,3.940671,0.1189376
59.85,-98.55,-32768,197.00256,3.9839597,0.1189376
59.85,-98.25,-32768,185.63126,3.9393647,0.1189376
59.85,-97.95,-32768,192.54579,3.9701889,0.1189376
59.85,-97.65,-32768,180.49081,3.9228425,0.1189376
59.85,-97.35,-32768,178.75749,3.918119,0.1189376
59.85,-97.05,-32768,173.53226,3.8990135,0.1189376
59.85,-96.75,-32768,189.6423,3.96776,0.1189376
59.85,-96.45,-32768,193.30502,3.9851444,0.1189376
59.85,-96.15,-32768,201.24394,4.020145,0.1189376
59.85,-95.85,-32768,204.71645,4.036661,0.1189376
59.85,-95.55,-32768,219.95717,4.101609,0.1189376
59.85,-95.25,-32768,229.87622,4.144491,0.1189376
59.85,-94.95,-32768,206.6586,4.050813,0.1189376
59.85,-94.65,-32768,187.80392,3.975347,0.1189376
59.85,-94.35,-32768,189.28043,3.983762,0.1189376
59.85,-94.05,-32768,199.5202,4.028232,0.1189376
59.85,-93.75,-32768,185.26077,3.9717336,0.1189376
59.85,-93.45,-32768,192.52763,4.004069,0.1189376
59.85,-93.15,-32768,196.87167,4.0242515,0.1189376
59.85,-92.85,-32768,154.28052,3.8510957,0.1189376
59.85,-92.55,-32768,128.76678,3.74868,0.1189376
59.85,-92.25,-32768,143.95554,3.8140888,0.1189376
59.85,-91.95,-32768,140.39665,3.8021514,0.1189376
59.85,-91.65,-32768,146.14804,3.828618,0.1189376
59.85,-91.35,-32768,143.24368,3.8193624,0.1189376
59.85,-91.05,-32768,156.3498,3.8760796,0.1189376
59.85,-90.75,-32768,134.49738,3.7887123,0.1189376
59.85,-90.45,-32768,137.00356,3.8018718,0.1189376
59.85,-90.15,-32768,118.40331,3.7280686,0.1189376
59.85,-89.85,-32768,113.08119,3.7091277,0.1189376
59.85,-89.55,-32768,103.98122,3.6747124,0.1189376
59.85,-89.25,-32768,103.811035,3.677105,0.1189376
59.85,-88.94999999999999,-32768,98.02012,3.6563964,0.1189376
59.85,-88.65,-32768,80.676636,3.5881376,0.1189376
59.85,-88.35,-32768,72.37242,3.5573153,0.1189376
59.85,-88.05,-32768,49.200577,3.4652848,0.1189376
59.85,-87.75,-32768,39.72879,3.4299152,0.1189376
59.85,-87.44999999999999,-32768,48.578217,3.4700627,0.1189376
59.85,-87.15,-32768,49.626938,3.47807,0.1189376
59.85,-86.85,-32768,62.184128,3.5334024,0.1189376
59.85,-86.55,-32768,84.275055,3.6279082,0.1189376
59.85,-86.25,-32768,87.63368,3.6450882,0.1189376
59.85,-85.94999999999999,-32768,96.926865,3.6867042,0.1189376
59.85,-85.64999999999999,-32768,114.44985,3.7621052,0.1189376
59.85,-85.35,-32768,128.7149,3.8239763,0.1189376
59.85,-85.05,-32768,117.77157,3.7819216,0.1189376
59.85,-84.75,-32768,129.89502,3.8350055,0.1189376
59.85,-84.45,-32768,123.19923,3.8104339,0.1189376
59.85,-84.14999999999999,-32768,118.28159,3.7933722,0.1189376
59.85,-83.85,-32768,101.85112,3.7288828,0.1189376
59.85,-83.55,-32768,115.031784,3.7865617,0.1189376
59.85,-83.25,-32768,106.15358,3.7533216,0.1189376
59.85,-82.95,-32768,91.43848,3.6960914,0.1189376
59.85,-82.64999999999999,-32768,95.62935,3.716962,0.1189376
59.85,-82.35,-32768,116.78388,3.8076148,0.1189376
59.85,-82.05,-32768,107.86069,3.7742972,0.1189376
59.85,-81.75,-32768,117.11099,3.8159328,0.1189376
59.85,-81.45,-32768,109.03014,3.7861323,0.1189376
59.85,-81.14999999999999,-32768,93.22931,3.7246578,0.1189376
59.85,-80.85,-32768,94.96652,3.7355723,0.1189376
59.85,-80.55,-32768,103.62308,3.775023,0.1189376
59.85,-80.25,-32768,105.33405,3.785837,0.1189376
59.85,-79.95,-32768,114.01252,3.8253665,0.1189376
59.85,-79.64999999999999,-32768,99.35864,3.7687624,0.1189376
59.85,-79.35,-32768,106.36761,3.8015742,0.1189376
59.85,-79.05,-32768,110.27926,3.8215947,0.1189376
59.85,-78.75,-32768,108.187614,3.8169062,0.1189376
59.85,-78.45,-32768,120.131165,3.8701222,0.1189376
59.85,-78.14999999999999,-32768,123.09226,3.8862123,0.1189376
59.85,-77.85,-32768,111.853836,3.8439202,0.1189376
59.85,-77.55,-32768,92.81796,3.7696514,0.1189376
59.85,-77.25,-32768,105.71765,3.8271837,0.1189376
59.85,-76.95,-32768,127.15283,3.919735,0.1189376
59.85,-76.64999999999999,-32768,119.638336,3.8929338,0.1189376
59.85,-76.35,-32768,117.26782,3.8874424,0.1189376
59.85,-76.05,-32768,154.42236,4.044773,0.1189376
59.85,-75.75,-32768,139.40488,3.9869862,0.1189376
59.85,-75.45,-32768,157.34212,4.0651455,0.1189376
59.85,-75.14999999999999,-32768,165.3127,4.1021104,0.1189376
59.85,-74.85,-32768,156.7252,4.070875,0.1189376
59.85,-74.55,-32768,158.4938,4.082491,0.1189376
59.85,-74.25,-32768,172.98398,4.146458,0.1189376
59.85,-73.95,-32768,191.5181,4.2270827,0.1189376
59.85,-73.64999999999999,-32768,191.22414,4.2299943,0.1189376
59.85,-73.35,-32768,192.59279,4.2398877,0.1189376
59.85,-73.05,-32768,204.68935,4.2940106,0.1189376
59.85,-72.75,-32768,200.77202,4.282099,0.1189376
59.85,-72.45,-32768,214.52097,4.3430777,0.1189376
59.85,-72.14999999999999,-32768,212.7706,4.340195,0.1189376
59.85,-71.85,-32768,226.07571,4.399357,0.1189376
59.85,-71.55,-32768,216.08585,4.3625364,0.1189376
59.85,-71.25,-32768,207.5036,4.331718,0.1189376
59.85,-70.95,-32768,213.2754,4.360157,0.1189376
59.85,-70.64999999999999,-32768,216.30557,4.3773494,0.1189376
59.85,-70.35,-32768,234.76219,4.4580917,0.1189376
59.85,-70.05,-32768,231.07968,4.447574,0.1189376
59.85,-69.75,-32768,221.20927,4.411662,0.1189376
59.85,-69.45,-32768,222.64813,4.422572,0.1189376
59.85,-69.14999999999999,-32768,224.32138,4.434455,0.1189376
59.85,-68.85,-32768,241.65515,4.5108924,0.1189376
59.85,-68.55,-32768,224.4891,4.445157,0.1189376
59.85,-68.25,-32768,219.23515,4.4287224,0.1189376
59.85,-67.95,-32768,190.71268,4.3166447,0.1189376
59.85,-67.64999999999999,-32768,194.17131,4.336654,0.1189376
59.85,-67.35,-32768,175.32397,4.2648273,0.1189376
59.85,-67.05,-32768,177.01125,4.2778306,0.1189376
59.85,-66.75,-32768,174.56485,4.2738886,0.1189376
59.85,-66.45,-32768,191.96333,4.351704,0.1189376
59.85,-66.14999999999999,-32768,180.26016,4.3096247,0.1189376
59.85,-65.85,-32768,163.3525,4.246274,0.1189376
59.85,-65.55,-32768,156.97691,4.226555,0.1189376
59.85,-65.25,-32768,160.17696,4.24637,0.1189376
59.85,-64.95,-32768,182.68819,4.3457355,0.1189376
59.85,-64.64999999999999,-32768,198.43129,4.417018,0.1189376
59.85,-64.35,-32768,187.26755,4.3773966,0.1189376
59.85,-64.05,-32768,171.59473,4.319399,0.1189376
59.85,-63.75,-32768,186.57039,4.3878326,0.1189376
59.85,-63.45,-32768,175.85721,4.350367,0.1189376
59.85,-63.14999999999999,-32768,184.56708,4.393058,0.1189376
59.85,-62.85,-32768,188.13078,4.4144783,0.1189376
59.85,-62.55,-32768,198.78009,4.465087,0.1189376
59.85,-62.25,-32768,182.57086,4.405061,0.1189376
59.85,-61.95,-32768,175.63394,4.3834667,0.1189376
59.85,-61.64999999999999,-32768,160.03738,4.326297,0.1189376
59.85,-61.35,-32768,140.39853,4.252749,0.1189376
59.85,-61.05,-32768,137.55447,4.248589,0.1189376
59.85,-60.75,-32768,135.5979,4.2482023,0.1189376
59.85,-60.45,-32768,121.870476,4.19939,0.1189376
59.85,-60.14999999999999,-32768,127.268074,4.2295074,0.1189376
59.85,-59.85,-32768,119.30548,4.20457,0.1189376
59.85,-59.55,-32768,128.69658,4.251221,0.1189376
59.85,-59.25,-32768,128.08624,4.2565994,0.1189376
59.85,-58.95,-32768,128.55449,4.2664485,0.1189376
59.85,-58.64999999999999,-32768,123.082794,4.2518682,0.1189376
59.85,-58.35,-32768,137.09473,4.317579,0.1189376
59.85,-58.05,-32768,133.39206,4.310214,0.1189376
59.85,-57.75,-32768,135.02829,4.3248796,0.1189376
59.85,-57.45,-32768,145.1707,4.37457,0.1189376
59.85,-57.14999999999999,-32768,126.76081,4.3066225,0.1189376
59.85,-56.85,-32768,124.351204,4.304755,0.1189376
59.85,-56.55,-32768,123.36325,4.308788,0.1189376
59.85,-56.25,-32768,126.4763,4.32975,0.1189376
59.85,-55.95,-32768,114.65968,4.2892,0.1189376
59.85,-55.64999999999999,-32768,118.091484,4.3116045,0.1189376
59.85,-55.35,-32768,132.60246,4.3795624,0.1189376
59.85,-55.05,-32768,118.11209,4.327959,0.1189376
59.85,-54.75,-32768,109.48408,4.300667,0.1189376
59.85,-54.45,-32768,117.514824,4.3421082,0.1189376
59.85,-54.14999999999999,-32768,127.90908,4.393132,0.1189376
59.85,-53.85,-32768,134.37617,4.4278536,0.1189376
59.85,-53.55,-32768,165.0364,4.5621142,0.1189376
59.85,-53.25,-32768,177.20265,4.619839,0.1189376
59.85,-52.95,-32768,194.84415,4.699938,0.1189376
59.85,-52.64999999999999,-32768,191.9562,4.6953354,0.1189376
59.85,-52.35,-32768,212.49863,4.7872105,0.1189376
59.85,-52.05,-32768,180.55612,4.662788,0.1189376
59.85,-51.75,-32768,171.00948,4.6309695,0.1189376
59.85,-51.45,-32768,188.66386,4.711267,0.1189376
59.85,-51.14999999999999,-32768,190.86142,4.727642,0.1189376
59.85,-50.85,-32768,176.1728,4.67455,0.1189376
59.85,-50.55,-32768,167.65894,4.6470375,0.1189376
59.85,-50.25,-32768,202.24007,4.7970386,0.1189376
59.55,-149.85,-32768,180.75749,3.569557,0.1189376
59.55,-149.54999999999998,-32768,172.57037,3.5379963,0.1189376
59.55,-149.25,-32768,176.62163,3.5567524,0.1189376
59.55,-148.95,-32768,156.1287,3.4743307,0.1189376
59.55,-148.65,-32768,150.14316,3.4517684,0.1189376
59.55,-148.35,-32768,154.15944,3.470493,0.1189376
59.55,-148.04999999999998,-32768,149.88727,3.455108,0.1189376
59.55,-147.75,-32768,146.55699,3.4436164,0.1189376
59.55,-147.45,-32768,138.29842,3.4117887,0.1189376
59.55,-147.15,-32768,146.50041,3.447789,0.1189376
59.55,-146.85,-32768,179.23584,3.584877,0.1189376
59.55,-146.54999999999998,-32768,184.20331,3.60739,0.1189376
59.55,-146.25,-32768,191.83157,3.6408486,0.1189376
59.55,-145.95,-32768,190.24174,3.6362405,0.1189376
59.55,-145.65,-32768,191.58342,3.6437016,0.1189376
59.55,-145.35,-32768,168.74396,3.5514302,0.1189376
59.55,-145.04999999999998,-32768,181.97449,3.6078138,0.1189376
59.55,-144.75,-32768,203.8545,3.699777,0.1189376
59.55,-144.45,-32768,194.37244,3.6623936,0.1189376
59.55,-144.15,-32768,202.32184,3.696896,0.1189376
59.55,-143.85,-32768,208.54604,3.7242832,0.1189376
59.55,-143.54999999999998,-32768,194.65881,3.6687293,0.1189376
59.55,-143.25,-32768,194.60883,3.6702576,0.1189376
59.55,-142.95,-32768,188.79556,3.6479836,0.1189376
59.55,-142.65,-32768,208.15437,3.7294517,0.1189376
59.55,-142.35,-32768,211.79236,3.7460563,0.1189376
59.55,-142.04999999999998,-32768,217.2842,3.7702615,0.1189376
59.55,-141.75,-32768,237.81876,3.8564072,0.1189376
59.55,-141.45,-32768,246.60335,3.8940582,0.1189376
59.55,-141.15,-32768,263.1732,3.9637513,0.1189376
59.55,-140.85,-32768,247.26056,3.8995056,0.1189376
59.55,-140.54999999999998,-32768,253.67435,3.9272933,0.1189376
59.55,-140.25,-32768,251.45178,3.919481,0.1189376
59.55,-139.95,-32768,242.81357,3.8852863,0.1189376
59.55,-139.65,42,251.5123,4.452519,0.1189376
59.55,-139.35,80,250.10912,4.4487777,0.1189376
59.55,-139.04999999999998,309,263.6182,4.5095873,0.1189376
59.55,-138.75,159,268.2627,4.5276866,0.1189376
59.55,-138.45,392,279.87543,4.580629,0.1189376
59.55,-138.15,-32768,262.99673,3.97675,0.1189376
59.55,-137.85,-32768,258.92694,3.961357,0.1189376
59.55,-137.54999999999998,-32768,257.7655,3.9579058,0.1189376
