LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.85,-54.75,-32768,89.88289,3.4882143,0.13677537
59.85,-54.45,-32768,104.055336,3.5401738,0.13677537
59.85,-54.14999999999999,-32768,122.24866,3.6045525,0.13677537
59.85,-53.85,-32768,133.68416,3.6478038,0.13677537
59.85,-53.55,-32768,186.52208,3.8200002,0.13677537
59.85,-53.25,-32768,207.64946,3.8930569,0.13677537
59.85,-52.95,-32768,238.10889,3.9950945,0.13677537
59.85,-52.64999999999999,-32768,233.41812,3.9874039,0.13677537
59.85,-52.35,-32768,268.8214,4.104685,0.13677537
59.85,-52.05,-32768,214.36943,3.9417582,0.13677537
59.85,-51.75,-32768,198.30034,3.8987937,0.13677537
59.85,-51.45,-32768,228.79689,4.001072,0.13677537
59.85,-51.14999999999999,-32768,232.78645,4.020539,0.13677537
59.85,-50.85,-32768,207.89684,3.9500058,0.13677537
59.85,-50.55,-32768,193.59012,3.9126186,0.13677537
59.85,-50.25,-32768,253.0456,4.105175,0.13677537
59.55,-149.85,-32768,314.6445,3.1828544,0.13677537
59.55,-149.54999999999998,-32768,300.9026,3.1401825,0.13677537
59.55,-149.25,-32768,308.0954,3.1627057,0.13677537
59.55,-148.95,-32768,273.26,3.0541258,0.13677537
59.55,-148.65,-32768,263.27377,3.0230935,0.13677537
59.55,-148.35,-32768,270.41147,3.0455496,0.13677537
59.55,-148.04999999999998,-32768,263.3753,3.0237882,0.13677537
59.55,-147.75,-32768,257.94806,3.0070815,0.13677537
59.55,-147.45,-32768,244.07742,2.9640083,0.13677537
59.55,-147.15,-32768,258.3817,3.008811,0.13677537
59.55,-146.85,-32768,314.68423,3.1845174,0.13677537
59.55,-146.54999999999998,-32768,323.4288,3.2118216,0.13677537
59.55,-146.25,-32768,336.72888,3.2532873,0.13677537
59.55,-145.95,-32768,334.226,3.2454247,0.13677537
59.55,-145.65,-32768,336.7394,3.253184,0.13677537
59.55,-145.35,-32768,297.84464,3.1317286,0.13677537
59.55,-145.04999999999998,-32768,320.6885,3.2028327,0.13677537
59.55,-144.75,-32768,358.344,3.3200307,0.13677537
59.55,-144.45,-32768,342.28668,3.2696517,0.13677537
59.55,-144.15,-32768,356.06836,3.3123598,0.13677537
59.55,-143.85,-32768,366.89108,3.3458505,0.13677537
59.55,-143.54999999999998,-32768,343.26886,3.2718992,0.13677537
59.55,-143.25,-32768,343.349,3.271852,0.13677537
59.55,-142.95,-32768,333.5436,3.2409554,0.13677537
59.55,-142.65,-32768,366.82794,3.3444529,0.13677537
59.55,-142.35,-32768,373.17682,3.3638911,0.13677537
59.55,-142.04999999999998,-32768,382.70148,3.3931699,0.13677537
59.55,-141.75,-32768,417.94855,3.5026708,0.13677537
59.55,-141.45,-32768,433.07156,3.5493116,0.13677537
59.55,-141.15,-32768,461.51437,3.6374757,0.13677537
59.55,-140.85,-32768,434.3344,3.5520854,0.13677537
59.55,-140.54999999999998,-32768,445.35358,3.585912,0.13677537
59.55,-140.25,-32768,441.59216,3.5736039,0.13677537
59.55,-139.95,-32768,426.84286,3.5270567,0.13677537
59.55,-139.65,42,428.5103,4.804176,0.13677537
59.55,-139.35,80,426.1165,4.797701,0.13677537
59.55,-139.04999999999998,309,449.16653,4.877997,0.13677537
59.55,-138.75,159,457.16464,4.8966365,0.13677537
59.55,-138.45,392,476.93762,4.966751,0.13677537
59.55,-138.15,-32768,461.4126,3.6317937,0.13677537
59.55,-137.85,-32768,454.417,3.6094618,0.13677537
59.55,-137.54999999999998,-32768,452.36768,3.6026096,0.13677537
59.55,-137.25,-32768,444.24237,3.5767763,0.13677537
59.55,-136.95,-32768,455.64343,3.611858,0.13677537
59.55,-136.65,-32768,480.3355,3.6884103,0.13677537
59.55,-136.35,-32768,490.93793,3.7210197,0.13677537
59.55,-136.04999999999998,53,498.59354,5.0172663,0.13677537
59.55,-135.75,899,475.46588,4.977538,0.13677537
59.55,-135.45,270,489.90887,4.997789,0.13677537
59.55,-135.15,952,478.2125,4.987396,0.13677537
59.55,-134.85,-32768,462.2708,3.629635,0.13677537
59.55,-134.54999999999998,-32768,481.13605,3.6881595,0.13677537
59.55,-134.25,-32768,484.70306,3.6989667,0.13677537
