STATION,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
USC00111436,2017,39.4762,-88.1652,213.4,831.0,41.0,51.0,372.0,256.0
USC00111436,2018,39.4762,-88.1652,213.4,1041.0,102.0,102.0,350.0,278.0
USC00111436,2019,39.4762,-88.1652,213.4,787.0,152.0,178.0,350.0,250.0
USC00111436,2020,39.4762,-88.1652,213.4,953.0,114.0,178.0,356.0,233.0
USC00111436,2021,39.4762,-88.1652,213.4,714.0,152.0,254.0,367.0,244.0
USC00111436,2022,39.4762,-88.1652,213.4,566.0,114.0,229.0,367.0,261.0
USC00111436,2023,39.4762,-88.1652,213.4,673.0,64.0,76.0,383.0,256.0
USC00111436,2024,39.4762,-88.1652,213.4,762.0,76.0,76.0,361.0,228.0
USC00112140,1951,40.1391,-87.6479,169.2,927.0,119.0,178.0,356.0,233.0
USC00112140,1952,40.1391,-87.6479,169.2,869.0,152.0,152.0,389.0,244.0
USC00112140,1953,40.1391,-87.6479,169.2,478.0,51.0,76.0,394.0,250.0
USC00112140,1954,40.1391,-87.6479,169.2,610.0,76.0,25.0,406.0,244.0
USC00112140,1955,40.1391,-87.6479,169.2,671.0,64.0,76.0,367.0,250.0
USC00112140,1956,40.1391,-87.6479,169.2,975.0,102.0,76.0,367.0,239.0
USC00112140,1957,40.1391,-87.6479,169.2,551.0,76.0,76.0,344.0,239.0
USC00112140,1958,40.1391,-87.6479,169.2,968.0,64.0,51.0,350.0,228.0
USC00112140,1959,40.1391,-87.6479,169.2,577.0,127.0,0.0,367.0,244.0
USC00112140,1960,40.1391,-87.6479,169.2,889.0,127.0,0.0,367.0,233.0
USC00112140,1961,40.1391,-87.6479,169.2,711.0,140.0,0.0,344.0,233.0
USC00112140,1962,40.1391,-87.6479,169.2,1044.0,127.0,0.0,350.0,228.0
USC00112140,1963,40.1391,-87.6479,169.2,511.0,178.0,76.0,383.0,244.0
USC00112140,1964,40.1391,-87.6479,169.2,696.0,152.0,102.0,367.0,244.0
USC00112140,1965,40.1391,-87.6479,169.2,483.0,152.0,152.0,356.0,239.0
USC00112140,1966,40.1391,-87.6479,169.2,737.0,127.0,127.0,394.0,239.0
USC00112140,1967,40.1391,-87.6479,169.2,513.0,76.0,76.0,350.0,222.0
USC00112140,1968,40.1391,-87.6479,169.2,1372.0,64.0,254.0,361.0,239.0
USC00112140,1969,40.1391,-87.6479,169.2,1173.0,76.0,178.0,350.0,250.0
USC00112140,1970,40.1391,-87.6479,169.2,1031.0,76.0,76.0,378.0,233.0
USC00112140,1971,40.1391,-87.6479,169.2,541.0,64.0,51.0,361.0,228.0
USC00112140,1972,40.1391,-87.6479,169.2,930.0,76.0,76.0,344.0,228.0
USC00112140,1973,40.1391,-87.6479,169.2,696.0,25.0,25.0,350.0,228.0
USC00112140,1974,40.1391,-87.6479,169.2,523.0,330.0,406.0,372.0,239.0
USC00112140,1975,40.1391,-87.6479,169.2,533.0,97.0,76.0,356.0,228.0
